cidade,ponto_turistico,preco,endereco
Fortaleza,Beach Park,230 reais,"Rua Porto das Dunas, 2734 - Porto das Dunas, Aquiraz - CE, 61700-000"
Fortaleza,Parque Engenhoca,40 reais,"R. Raimundo Coelho, 200 - Centro, Aquiraz - CE, 61700-000"
Fortaleza,Passeio de Buggy,em média 150 reais,Praia de Cumbuco ou Praia de Águas Belas (endereço variável)
Fortaleza,Dia na Praia do Futuro + Almoço,150 a 200 reais,Zona Leste de Fortaleza
Fortaleza,Tour guiado Arena Castelão,20 reais,"Av. Alberto Craveiro, 2901 - Castelão, Fortaleza - CE, 60861-211"
Fortaleza,Dia na Praia de Cumbuco (passeio + alimentação),310 a 370 reais,Cerca de 30 km leste de Fortaleza
Fortaleza,Caminhada pela Beira Mar,gratuito,"Av. Beira Mar, 3697 - Mucuripe, Fortaleza - CE, 60165-121"
Rio de Janeiro,Cristo Redentor,102 reais,"Parque Nacional da Tijuca - Alto da Boa Vista, Rio de Janeiro - RJ"
Rio de Janeiro,Pão de Açúcar,92 reais (meia entrada),"Urca, Rio de Janeiro - RJ"
Rio de Janeiro,Tour Estádio Maracanã,30 reais,"R. Prof. Eurico Rabelo - Maracanã, Rio de Janeiro - RJ, 20271-150"
Rio de Janeiro,Museu do Amanhã,40 reais,"Praça Mauá, 1 - Centro, Rio de Janeiro - RJ, 20081-240"
Rio de Janeiro,Aquário,140 reais,"Praça Muhammad Ali - Via Binário do Porto, s/n - Gamboa, Rio de Janeiro - RJ, 20220-360"
Rio de Janeiro,Trilha Pedra do Telégrafo,gratuito,"Grumari, Rio de Janeiro - RJ"
Rio de Janeiro,Parque Nacional da Tijuca,gratuito,"Santa Teresa - Estr. da Cascatinha, 850, Estrada das Paineiras, S/N - Alto da Boa Vista, Rio de Janeiro - RJ, 20531-590"
Florianópolis,Beto Carrero World,150 reais,"Rod. Beto Carrero World - Armação, Penha - SC, 88385-000"
Florianópolis,Roda Gigante Big Wheel,60 reais,"Estr. da Raínha, 1009 - Pioneiros, Balneário Camboriú - SC, 88331-510"
Florianópolis,Praia Jurerê,gratuito (opções pagas de alimentação),Norte da ilha de Florianópolis
Florianópolis,Tour pela Ilha do Campeche,a partir de 30 reais (necessária reserva com antecedência),Embarque ao sul da praia do Campeche (Zona Sul de Florianópolis)
Florianópolis,Passeio de Bondinho Unipraias + Parque Floresta Fantástica,74 reais,"Av. Rodesindo Pavan, s/n - Região das Praias, Balneário Camboriú - SC, 88332-245"
Florianópolis,Ônibus Turístico e Tour pela Cidade,180 reais,Vários pontos ao redor de toda a cidade
Florianópolis,Mercado Municipal,gratuito (opções pagas de alimentação),"R. Jerônimo Coelho, 60 - Centro, Florianópolis - SC, 88010-030"
São Paulo,Parque Ibirapuera,gratuito,"Av. Pedro Álvares Cabral, s/n - Vila Mariana, São Paulo - SP, 04094-050"
São Paulo,Avenida Paulista,gratuito,"Av. Paulista, São Paulo - SP"
São Paulo,"Combo (Zoológico SP, Mundo Dino, Aqua Zoo, Jardim Botânico)",100 reais,"Av. Miguel Estefno, 4241 - Água Funda, São Paulo - SP, 04301-905"
São Paulo,Museu Catavento,18 reais,"Avenida Mercúrio, Parque Dom Pedro II, s/n, São Paulo - SP, 03003-060"
São Paulo,Mercado Municipal de São Paulo,gratuito (opções pagas de alimentação),"R. da Cantareira, 306 - Centro Histórico de São Paulo, São Paulo - SP, 01024-900"
São Paulo,Museu de Arte de São Paulo,40 reais,"Av. Paulista, 1578 - Bela Vista, São Paulo - SP, 01310-200"
São Paulo,Museu do Futebol (Estádio Pacaembu),24 reais,"Praça Charles Miller - Pacaembu, São Paulo - SP, 01234-010"
Gramado,Mini Mundo,98 reais,"R. Horácio Cardoso, 291 - Planalto, Gramado - RS, 95675-062"
Gramado,Rua Coberta,gratuito,"R. Me. Verônica, 30 - Centro, Gramado - RS, 95670-000"
Gramado,Snowland,200 reais,"RS-235 - R. Linha Carazal, 9009, Gramado - RS, 95675-500"
Gramado,Hollywood Dream Cars - Museu do Automóvel,100 reais,"Avenida das Hortênsias, R. Vigilante, 4151, Gramado - RS, 95670-000"
Gramado,Dreamland Museu de Cera,155 reais,"Av. das Hortênsias, 5507 - Ipê Amarelo, Gramado - RS, 95670-000"
Gramado,Aquamotion Gramado Termas Park,150 reais,"Estrada Municipal Linha Ávila, R. Linha Carazal, 501 - Bairro, Gramado - RS, 95670-000"
Gramado,Exceed Games Park,"149,99 reais","Av. das Hortênsias, 4510 - Estrada Gramado, Gramado - RS, 95670-670"
